F1 code,F0 code,Rep,source,F0parasite,F0temp,F1parasite,F1temp,Body.size,Embedded.spore,Penetrated.spore,attack,gut.resistance,Hemocytes,Hemocytes.per.spore,lifespan,infection,mean foregut width,totalbaby,ageatfirst,firstclutch,earlydeath,maturetrans,infection.status
IC8,UC8,8,UC8,control,control,infection,control,944.22,5,6,11,0.454545455,29,4.833333333,8,0,17.69666667,0,,,1,0,exposed-uninfected
IC9,UC9,9,UC9,control,control,infection,control,1378.95,4,4,8,0.5,22,5.5,20,1,15.79333333,20,9,2,0,960000,exposed-infected
IC10,UC10,10,UC23,control,control,infection,control,1411.88,6,6,12,0.5,33,5.5,15,1,18.30333333,14,7,1,0,385000,exposed-infected
IC12,UC12,12,UC21,control,control,infection,control,1287.86,7,6,13,0.538461538,28,4.666666667,57,0,18.27333333,96,8,2,0,0,exposed-uninfected
IC13,UC13,13,UC13,control,control,infection,control,897.84,3,2,5,0.6,29,14.5,15,1,12.32,9,12,5,0,410000,exposed-infected
IC14,UC14,14,UC14,control,control,infection,control,1432.14,5,2,7,0.714285714,3,1.5,17,0,15.42,21,9,4,0,0,exposed-uninfected
IC15,UC15,15,UC15,control,control,infection,control,1317.62,5,6,11,0.454545455,23,3.833333333,17,1,21.38333333,19,8,4,0,530000,exposed-infected
IC18,UC18,18,UC17,control,control,infection,control,1157.74,4,5,9,0.444444444,25,5,56,0,15.87333333,104,10,4,0,0,exposed-uninfected
IC20,UC20,20,UC10,control,control,infection,control,1141.58,1,0,1,1,0,,20,0,14.64,12,10,4,0,0,exposed-uninfected
UW1,UC1,1,UC1,control,control,control,warming,1414.39,,,,,,,50,,,91,6,3,0,,control
UW2,UC2,2,UC22,control,control,control,warming,1123.89,,,,,,,33,,,85,10,5,0,,control
UW6,UC6,6,UC6,control,control,control,warming,1217.77,,,,,,,36,,,86,8,2,0,,control
UW7,UC7,7,UC7,control,control,control,warming,1489.58,,,,,,,33,,,98,6,3,0,,control
UW8,UC8,8,UC8,control,control,control,warming,1303.77,,,,,,,29,,,77,7,6,0,,control
UW9,UC9,9,UC9,control,control,control,warming,1378.41,,,,,,,32,,,77,7,3,0,,control
UW12,UC12,12,UC21,control,control,control,warming,1303.83,,,,,,,20,,,51,6,2,0,,control
UW13,UC13,13,UC13,control,control,control,warming,1238.07,,,,,,,28,,,72,8,2,0,,control
UW14,UC14,14,UC14,control,control,control,warming,1128.16,,,,,,,39,,,78,8,3,0,,control
UW18,UC18,18,UC17,control,control,control,warming,1132.23,,,,,,,28,,,61,8,3,0,,control
UW19,UC19,19,UC19,control,control,control,warming,899.78,,,,,,,29,,,66,10,3,0,,control
UW20,UC20,20,UC10,control,control,control,warming,1174.8,,,,,,,32,,,75,8,4,0,,control
IW1,UC1,1,UC1,control,control,infection,warming,1493.66,6,4,10,0.6,9,2.25,13,1,22.02333333,24,6,4,0,2500,exposed-infected
IW2,UC2,2,UC22,control,control,infection,warming,1198.13,7,13,20,0.35,20,1.538461538,,,17.35666667,0,,,1,,
IW7,UC7,7,UC7,control,control,infection,warming,1215.41,2,3,5,0.4,14,4.666666667,16,1,17.04,22,7,4,0,217500,exposed-infected
IW8,UC8,8,UC8,control,control,infection,warming,1383.5,8,7,15,0.533333333,8,1.142857143,15,1,18.75666667,25,8,5,0,1345000,exposed-infected
IW9,UC9,9,UC9,control,control,infection,warming,992.33,5,4,9,0.555555556,8,2,46,0,16.23333333,75,7,2,0,0,exposed-uninfected
IW10,UC10,10,UC23,control,control,infection,warming,1408.91,5,7,12,0.416666667,20,2.857142857,14,1,16.99666667,30,7,3,0,420000,exposed-infected
IW14,UC14,14,UC14,control,control,infection,warming,1302.08,5,2,7,0.714285714,0,0,19,1,16.32333333,37,7,3,0,5000,exposed-infected
IW15,UC15,15,UC15,control,control,infection,warming,1410.54,5,6,11,0.454545455,24,4,14,1,19.74333333,29,6,5,0,907500,exposed-infected
IW18,UC18,18,UC17,control,control,infection,warming,1150.59,4,7,11,0.363636364,2,0.285714286,28,1,14.64333333,41,8,2,0,32500,exposed-infected
IW19,UC19,19,UC19,control,control,infection,warming,1294.67,5,5,10,0.5,0,0,7,0,17.16666667,1,7,1,0,0,exposed-uninfected
IW20,UC20,20,UC10,control,control,infection,warming,1115.32,2,8,10,0.2,20,2.5,49,0,16.69,74,8,3,0,0,exposed-uninfected
UC1,IC1,1,IC22,infection,control,control,control,1020.54,,,,,,,54,,,98,10,2,0,,control
UC2,IC2,2,IC2,infection,control,control,control,1128.36,,,,,,,54,,,130,11,5,0,,control
UC4,IC4,4,IC35,infection,control,control,control,1356.51,,,,,,,43,,,138,8,6,0,,control
UC5,IC5,5,IC10,infection,control,control,control,1428.02,,,,,,,35,,,65,8,2,0,,control
UC8,IC8,8,IC8,infection,control,control,control,1354.65,,,,,,,54,,,68,9,3,0,,control
UC9,IC9,9,IC9,infection,control,control,control,1403.54,,,,,,,57,,,104,9,2,0,,control
UC10,IC10,10,IC31,infection,control,control,control,1352.24,,,,,,,61,,,150,8,4,0,,control
UC11,IC11,11,IC23,infection,control,control,control,969.02,,,,,,,36,,,92,12,3,0,,control
UC12,IC12,12,IC26,infection,control,control,control,1104.33,,,,,,,71,,,179,11,4,0,,control
UC13,IC13,13,IC13,infection,control,control,control,1242.33,,,,,,,67,,,134,10,5,0,,control
UC14,IC14,14,IC14,infection,control,control,control,1244.55,,,,,,,70,,,196,9,4,0,,control
UC15,IC15,15,IC34,infection,control,control,control,1273.2,,,,,,,9,,,2,8,2,0,,control
UC17,IC17,17,IC17,infection,control,control,control,1301.38,,,,,,,28,,,29,10,6,0,,control
UC18,IC18,18,IC18,infection,control,control,control,1217.43,,,,,,,49,,,104,10,6,0,,control
UC19,IC19,19,IC19,infection,control,control,control,1325.01,,,,,,,71,,,180,8,6,0,,control
UC20,IC20,20,IC33,infection,control,control,control,1329.98,,,,,,,63,,,154,9,4,0,,control
IC1,IC1,1,IC22,infection,control,infection,control,1063.58,4,7,11,0.363636364,21,3,29,0,18.76,26,10,3,0,,exposed-uninfected
IC2,IC2,2,IC2,infection,control,infection,control,1243.98,4,2,6,0.666666667,10,5,22,1,21.78666667,21,11,3,0,1267500,exposed-infected
IC3,IC3,3,IC30,infection,control,infection,control,1037.04,1,1,2,0.5,0,0,29,0,14.06666667,51,13,6,0,0,exposed-uninfected
IC4,IC4,4,IC35,infection,control,infection,control,1145.52,6,9,15,0.4,78,8.666666667,57,0,16.94333333,132,10,4,0,0,exposed-uninfected
IC6,IC6,6,IC6,infection,control,infection,control,857.82,7,4,11,0.636363636,26,6.5,8,0,14.72666667,0,,,1,0,exposed-uninfected
IC8,IC8,8,IC8,infection,control,infection,control,727.1,1,2,3,0.333333333,1,0.5,12,0,10.02666667,0,,,1,,exposed-uninfected
IC10,IC10,10,IC31,infection,control,infection,control,1406.54,3,9,12,0.25,43,4.777777778,8,,22.48333333,4,,,1,0,
IC11,IC11,11,IC23,infection,control,infection,control,1372.24,5,3,8,0.625,4,1.333333333,25,1,24.93666667,30,8,4,0,697500,exposed-infected
IC12,IC12,12,IC26,infection,control,infection,control,951.67,5,2,7,0.714285714,1,0.5,8,0,17.29666667,0,,,1,0,exposed-uninfected
IC13,IC13,13,IC13,infection,control,infection,control,1193.85,6,5,11,0.545454545,7,1.4,23,1,18.67333333,19,9,5,0,372500,exposed-infected
IC14,IC14,14,IC14,infection,control,infection,control,1178.75,4,5,9,0.444444444,2,0.4,15,0,15.18333333,11,10,4,0,0,exposed-uninfected
IC15,IC15,15,IC34,infection,control,infection,control,1242.41,1,5,6,0.166666667,30,6,21,1,19.29,27,8,3,0,377500,exposed-infected
IC17,IC17,17,IC17,infection,control,infection,control,1307.11,5,9,14,0.357142857,4,0.444444444,49,0,17.59,106,10,6,0,0,exposed-uninfected
IC18,IC18,18,IC18,infection,control,infection,control,970.78,2,9,11,0.181818182,30,3.333333333,18,1,16.23,24,11,4,0,150000,exposed-infected
IC19,IC19,19,IC19,infection,control,infection,control,1330.29,4,2,6,0.666666667,2,1,19,1,15.62,27,10,5,0,160000,exposed-infected
IC20,IC20,20,IC33,infection,control,infection,control,1325.45,3,3,6,0.5,37,12.33333333,15,1,17.26333333,12,9,4,0,252500,exposed-infected
UW1,IC1,1,IC22,infection,control,control,warming,1304.05,,,,,,,29,,,65,8,3,0,,control
